Source	Mo
Tension (kV)	40
Current (uA)	500
1.579	21.000
1.583	22.000
1.586	28.000
1.589	32.000
1.592	23.000
1.596	16.000
1.599	26.000
1.602	25.000
1.605	19.000
1.608	13.000
1.612	24.000
1.615	25.000
1.618	22.000
1.621	34.000
1.624	26.000
1.628	21.000
1.631	18.000
1.634	27.000
1.637	21.000
1.640	29.000
1.644	15.000
1.647	19.000
1.650	26.000
1.653	19.000
1.657	22.000
1.660	19.000
1.663	24.000
1.666	29.000
1.669	17.000
1.673	15.000
1.676	25.000
1.679	29.000
1.682	19.000
1.685	28.000
1.689	29.000
1.692	30.000
1.695	16.000
1.698	31.000
1.701	26.000
1.705	28.000
1.708	25.000
1.711	24.000
1.714	22.000
1.718	28.000
1.721	33.000
1.724	35.000
1.727	31.000
1.730	25.000
1.734	18.000
1.737	35.000
1.740	17.000
1.743	24.000
1.746	15.000
1.750	21.000
1.753	20.000
1.756	31.000
1.759	27.000
1.762	30.000
1.766	25.000
1.769	20.000
1.772	24.000
1.775	26.000
1.779	32.000
1.782	25.000
1.785	20.000
1.788	20.000
1.791	28.000
1.795	18.000
1.798	18.000
1.801	17.000
1.804	26.000
1.807	19.000
1.811	18.000
1.814	19.000
1.817	15.000
1.820	20.000
1.823	17.000
1.827	18.000
1.830	15.000
1.833	12.000
1.836	12.000
1.840	20.000
1.843	10.000
1.846	14.000
1.849	17.000
1.852	15.000
1.856	24.000
1.859	18.000
1.862	9.000
1.865	16.000
1.868	10.000
1.872	14.000
1.875	9.000
1.878	16.000
1.881	16.000
1.884	9.000
1.888	15.000
1.891	13.000
1.894	15.000
1.897	16.000
1.901	16.000
1.904	20.000
1.907	15.000
1.910	14.000
1.913	9.000
1.917	10.000
1.920	11.000
1.923	14.000
1.926	18.000
1.929	17.000
1.933	15.000
1.936	16.000
1.939	8.000
1.942	20.000
1.946	14.000
1.949	16.000
1.952	15.000
1.955	14.000
1.958	21.000
1.962	10.000
1.965	15.000
1.968	13.000
1.971	13.000
1.974	13.000
1.978	7.000
1.981	9.000
1.984	13.000
1.987	12.000
1.990	14.000
1.994	15.000
1.997	12.000
2.000	9.000
2.003	12.000
2.007	26.000
2.010	14.000
2.013	8.000
2.016	16.000
2.019	10.000
2.023	11.000
2.026	20.000
2.029	11.000
2.032	12.000
2.035	13.000
2.039	7.000
2.042	12.000
2.045	10.000
2.048	15.000
2.051	12.000
2.055	11.000
2.058	13.000
2.061	11.000
2.064	7.000
2.068	14.000
2.071	13.000
2.074	11.000
2.077	10.000
2.080	14.000
2.084	11.000
2.087	10.000
2.090	10.000
2.093	12.000
2.096	19.000
2.100	11.000
2.103	11.000
2.106	12.000
2.109	10.000
2.112	13.000
2.116	11.000
2.119	14.000
2.122	12.000
2.125	14.000
2.129	9.000
2.132	10.000
2.135	8.000
2.138	10.000
2.141	9.000
2.145	14.000
2.148	9.000
2.151	9.000
2.154	7.000
2.157	8.000
2.161	11.000
2.164	9.000
2.167	12.000
2.170	6.000
2.173	10.000
2.177	6.000
2.180	9.000
2.183	11.000
2.186	8.000
2.190	7.000
2.193	7.000
2.196	9.000
2.199	6.000
2.202	12.000
2.206	7.000
2.209	9.000
2.212	6.000
2.215	7.000
2.218	11.000
2.222	19.000
2.225	5.000
2.228	8.000
2.231	7.000
2.234	8.000
2.238	12.000
2.241	9.000
2.244	4.000
2.247	7.000
2.251	7.000
2.254	13.000
2.257	8.000
2.260	8.000
2.263	6.000
2.267	9.000
2.270	6.000
2.273	10.000
2.276	6.000
2.279	9.000
2.283	10.000
2.286	5.000
2.289	7.000
2.292	3.000
2.296	6.000
2.299	4.000
2.302	5.000
2.305	11.000
2.308	5.000
2.312	7.000
2.315	3.000
2.318	3.000
2.321	10.000
2.324	9.000
2.328	8.000
2.331	8.000
2.334	5.000
2.337	11.000
2.340	6.000
2.344	7.000
2.347	8.000
2.350	3.000
2.353	6.000
2.357	12.000
2.360	9.000
2.363	10.000
2.366	7.000
2.369	10.000
2.373	11.000
2.376	7.000
2.379	5.000
2.382	9.000
2.385	12.000
2.389	8.000
2.392	8.000
2.395	8.000
2.398	6.000
2.401	11.000
2.405	9.000
2.408	8.000
2.411	5.000
2.414	6.000
2.418	10.000
2.421	8.000
2.424	3.000
2.427	5.000
2.430	8.000
2.434	9.000
2.437	5.000
2.440	7.000
2.443	3.000
2.446	6.000
2.450	10.000
2.453	7.000
2.456	6.000
2.459	7.000
2.462	11.000
2.466	4.000
2.469	1.000
2.472	4.000
2.475	3.000
2.479	7.000
2.482	3.000
2.485	9.000
2.488	9.000
2.491	3.000
2.495	7.000
2.498	7.000
2.501	5.000
2.504	3.000
2.507	3.000
2.511	8.000
2.514	6.000
2.517	5.000
2.520	7.000
2.523	4.000
2.527	7.000
2.530	3.000
2.533	11.000
2.536	8.000
2.540	5.000
2.543	9.000
2.546	10.000
2.549	7.000
2.552	7.000
2.556	7.000
2.559	6.000
2.562	11.000
2.565	7.000
2.568	6.000
2.572	2.000
2.575	4.000
2.578	5.000
2.581	3.000
2.584	1.000
2.588	4.000
2.591	3.000
2.594	3.000
2.597	5.000
2.601	7.000
2.604	3.000
2.607	5.000
2.610	8.000
2.613	3.000
2.617	9.000
2.620	5.000
2.623	6.000
2.626	7.000
2.629	11.000
2.633	9.000
2.636	4.000
2.639	8.000
2.642	3.000
2.646	8.000
2.649	4.000
2.652	4.000
2.655	10.000
2.658	3.000
2.662	9.000
2.665	1.000
2.668	6.000
2.671	6.000
2.674	5.000
2.678	7.000
2.681	10.000
2.684	3.000
2.687	3.000
2.690	6.000
2.694	10.000
2.697	7.000
2.700	8.000
2.703	8.000
2.707	3.000
2.710	3.000
2.713	4.000
2.716	4.000
2.719	6.000
2.723	5.000
2.726	6.000
2.729	6.000
2.732	4.000
2.735	6.000
2.739	6.000
2.742	4.000
2.745	4.000
2.748	4.000
2.751	5.000
2.755	5.000
2.758	9.000
2.761	4.000
2.764	9.000
2.768	5.000
2.771	11.000
2.774	4.000
2.777	1.000
2.780	3.000
2.784	5.000
2.787	5.000
2.790	6.000
2.793	4.000
2.796	9.000
2.800	4.000
2.803	3.000
2.806	3.000
2.809	9.000
2.812	4.000
2.816	4.000
2.819	9.000
2.822	5.000
2.825	4.000
2.829	6.000
2.832	7.000
2.835	6.000
2.838	3.000
2.841	4.000
2.845	4.000
2.848	6.000
2.851	4.000
2.854	1.000
2.857	3.000
2.861	7.000
2.864	9.000
2.867	1.000
2.870	8.000
2.873	9.000
2.877	5.000
2.880	4.000
2.883	6.000
2.886	4.000
2.890	4.000
2.893	7.000
2.896	1.000
2.899	4.000
2.902	4.000
2.906	4.000
2.909	7.000
2.912	4.000
2.915	6.000
2.918	3.000
2.922	4.000
2.925	8.000
2.928	3.000
2.931	3.000
2.934	7.000
2.938	4.000
2.941	7.000
2.944	5.000
2.947	13.000
2.951	5.000
2.954	4.000
2.957	7.000
2.960	6.000
2.963	3.000
2.967	0.000
2.970	4.000
2.973	3.000
2.976	3.000
2.979	4.000
2.983	2.000
2.986	4.000
2.989	8.000
2.992	5.000
2.996	4.000
2.999	7.000
3.002	4.000
3.005	4.000
3.008	5.000
3.012	4.000
3.015	5.000
3.018	6.000
3.021	5.000
3.024	6.000
3.028	6.000
3.031	3.000
3.034	5.000
3.037	1.000
3.040	4.000
3.044	1.000
3.047	4.000
3.050	1.000
3.053	5.000
3.057	1.000
3.060	5.000
3.063	6.000
3.066	10.000
3.069	3.000
3.073	7.000
3.076	6.000
3.079	10.000
3.082	9.000
3.085	4.000
3.089	3.000
3.092	6.000
3.095	3.000
3.098	4.000
3.101	5.000
3.105	2.000
3.108	4.000
3.111	10.000
3.114	4.000
3.118	7.000
3.121	3.000
3.124	4.000
3.127	0.000
3.130	5.000
3.134	5.000
3.137	3.000
3.140	2.000
3.143	6.000
3.146	4.000
3.150	3.000
3.153	8.000
3.156	6.000
3.159	3.000
3.162	4.000
3.166	5.000
3.169	4.000
3.172	6.000
3.175	0.000
3.179	5.000
3.182	5.000
3.185	6.000
3.188	3.000
3.191	4.000
3.195	4.000
3.198	7.000
3.201	4.000
3.204	6.000
3.207	3.000
3.211	2.000
3.214	2.000
3.217	2.000
3.220	3.000
3.223	2.000
3.227	4.000
3.230	3.000
3.233	9.000
3.236	6.000
3.240	4.000
3.243	6.000
3.246	2.000
3.249	5.000
3.252	6.000
3.256	5.000
3.259	4.000
3.262	7.000
3.265	7.000
3.268	6.000
3.272	1.000
3.275	4.000
3.278	2.000
3.281	3.000
3.284	1.000
3.288	1.000
3.291	5.000
3.294	2.000
3.297	2.000
3.301	10.000
3.304	3.000
3.307	3.000
3.310	7.000
3.313	5.000
3.317	2.000
3.320	2.000
3.323	5.000
3.326	2.000
3.329	8.000
3.333	2.000
3.336	3.000
3.339	5.000
3.342	6.000
3.346	3.000
3.349	4.000
3.352	4.000
3.355	7.000
3.358	6.000
3.362	3.000
3.365	4.000
3.368	5.000
3.371	5.000
3.374	4.000
3.378	1.000
3.381	6.000
3.384	5.000
3.387	2.000
3.390	3.000
3.394	3.000
3.397	6.000
3.400	4.000
3.403	4.000
3.407	5.000
3.410	5.000
3.413	5.000
3.416	4.000
3.419	9.000
3.423	4.000
3.426	4.000
3.429	5.000
3.432	1.000
3.435	5.000
3.439	5.000
3.442	2.000
3.445	5.000
3.448	7.000
3.451	4.000
3.455	7.000
3.458	3.000
3.461	7.000
3.464	1.000
3.468	2.000
3.471	1.000
3.474	5.000
3.477	2.000
3.480	5.000
3.484	5.000
3.487	3.000
3.490	5.000
3.493	5.000
3.496	3.000
3.500	1.000
3.503	1.000
3.506	6.000
3.509	3.000
3.512	5.000
3.516	5.000
3.519	6.000
3.522	6.000
3.525	5.000
3.529	3.000
3.532	2.000
3.535	1.000
3.538	3.000
3.541	11.000
3.545	5.000
3.548	2.000
3.551	2.000
3.554	4.000
3.557	2.000
3.561	2.000
3.564	4.000
3.567	3.000
3.570	2.000
3.573	6.000
3.577	0.000
3.580	3.000
3.583	2.000
3.586	5.000
3.590	3.000
3.593	5.000
3.596	3.000
3.599	2.000
3.602	8.000
3.606	2.000
3.609	1.000
3.612	6.000
3.615	3.000
3.618	1.000
3.622	3.000
3.625	3.000
3.628	6.000
3.631	1.000
3.634	3.000
3.638	6.000
3.641	9.000
3.644	1.000
3.647	4.000
3.651	7.000
3.654	6.000
3.657	5.000
3.660	0.000
3.663	0.000
3.667	3.000
3.670	2.000
3.673	1.000
3.676	2.000
3.679	4.000
3.683	6.000
3.686	5.000
3.689	2.000
3.692	3.000
3.696	2.000
3.699	5.000
3.702	3.000
3.705	1.000
3.708	6.000
3.712	3.000
3.715	6.000
3.718	4.000
3.721	4.000
3.724	4.000
3.728	1.000
3.731	1.000
3.734	3.000
3.737	6.000
3.740	4.000
3.744	3.000
3.747	2.000
3.750	2.000
3.753	3.000
3.757	2.000
3.760	5.000
3.763	3.000
3.766	2.000
3.769	4.000
3.773	2.000
3.776	4.000
3.779	4.000
3.782	1.000
3.785	7.000
3.789	4.000
3.792	4.000
3.795	5.000
3.798	6.000
3.801	4.000
3.805	4.000
3.808	4.000
3.811	1.000
3.814	1.000
3.818	4.000
3.821	2.000
3.824	4.000
3.827	3.000
3.830	6.000
3.834	2.000
3.837	2.000
3.840	1.000
3.843	1.000
3.846	2.000
3.850	3.000
3.853	3.000
3.856	0.000
3.859	4.000
3.862	2.000
3.866	0.000
3.869	0.000
3.872	5.000
3.875	5.000
3.879	2.000
3.882	6.000
3.885	2.000
3.888	4.000
3.891	2.000
3.895	3.000
3.898	7.000
3.901	2.000
3.904	3.000
3.907	3.000
3.911	2.000
3.914	3.000
3.917	3.000
3.920	0.000
3.923	2.000
3.927	2.000
3.930	4.000
3.933	3.000
3.936	3.000
3.940	6.000
3.943	1.000
3.946	1.000
3.949	4.000
3.952	5.000
3.956	5.000
3.959	2.000
3.962	0.000
3.965	1.000
3.968	0.000
3.972	3.000
3.975	4.000
3.978	1.000
3.981	2.000
3.984	3.000
3.988	3.000
3.991	4.000
3.994	6.000
3.997	3.000
4.001	3.000
4.004	4.000
4.007	3.000
4.010	6.000
4.013	2.000
4.017	8.000
4.020	4.000
4.023	1.000
4.026	7.000
4.029	3.000
4.033	1.000
4.036	3.000
4.039	2.000
